# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4325		2275		1249
1		3733		4292		1378
2		3465		6186		1416
3		3305		7978		1476
4		3199		9704		1497
5		3093		11359		1513
6		2997		12967		1525
7		2909		14507		1536
8		2833		15996		1555
9		2776		17437		1568
10		2713		18830		1588
11		2671		20188		1577
12		2619		21519		1590
13		2585		22809		1598
14		2574		24065		1605
15		2530		25298		1605
16		2493		26524		1620
17		2465		27710		1611
18		2442		28895		1606
19		2436		30070		1630
20		2412		31229		1618
21		2409		32359		1627
22		2387		33495		1629
23		2372		34607		1641
24		2358		35706		1632
25		2357		36801		1630
26		2338		37881		1623
27		2326		38923		1634
28		2313		39956		1625
29		2292		40960		1637
30		2287		41952		1637
31		2269		42932		1639
32		2262		43891		1636
33		2251		44834		1633
34		2238		45776		1642
35		2228		46702		1651
36		2220		47618		1641
37		2212		48529		1643
38		2204		49429		1648
39		2200		50315		1647
40		2197		51188		1650
41		2191		52062		1644
42		2188		52932		1650
43		2184		53801		1653
44		2179		54663		1654
45		2165		55514		1642
46		2157		56345		1645
47		2152		57167		1645
48		2145		57987		1648
49		2143		58796		1646
50		2139		59600		1645
51		2138		60396		1643
52		2131		61193		1643
53		2130		61985		1649
54		2121		62772		1650
55		2120		63550		1653
56		2115		64324		1654
57		2111		65092		1653
58		2107		65854		1653
59		2108		66613		1651
60		2104		67375		1652
61		2102		68128		1654
62		2100		68883		1656
63		2098		69635		1657
64		2095		70388		1658
65		2096		71135		1656
66		2093		71882		1658
67		2091		72626		1655
68		2091		73366		1657
69		2090		74107		1658
70		2088		74846		1658
71		2088		75584		1658
72		2087		76323		1658
73		2085		77061		1660
74		2084		77796		1661
75		2082		78530		1660
76		2082		79260		1661
77		2081		79995		1658
78		2079		80730		1658
79		2080		81466		1656
80		2079		82201		1658
81		2080		82937		1656
82		2079		83672		1657
83		2079		84404		1655
84		2077		85136		1657
85		2077		85869		1657
86		2076		86602		1656
87		2073		87329		1658
88		2071		88054		1660
89		2071		88777		1659
90		2073		89499		1658
91		2070		90221		1660
92		2067		90943		1659
93		2069		91663		1659
94		2065		92381		1662
95		2066		93099		1663
96		2064		93816		1662
97		2063		94531		1662
98		2063		95245		1664
99		2063		95958		1664
100		2063		96670		1664
101		2062		97383		1664
102		2059		98092		1665
103		2058		98799		1664
104		2059		99508		1663
105		2061		100219		1663
106		2062		100933		1661
107		2059		101645		1662
108		2058		102357		1663
109		2055		103077		1663
110		2053		103789		1663
111		2049		104503		1662
112		2048		105214		1662
113		2043		105922		1665
114		2042		106627		1667
115		2040		107332		1668
116		2039		108034		1666
117		2038		108734		1669
118		2038		109432		1668
119		2036		110128		1669
120		2034		110821		1666
121		2035		111514		1668
122		2033		112209		1666
123		2033		112900		1665
124		2033		113590		1665
125		2033		114280		1665
126		2032		114971		1666
127		2032		115662		1664
128		2033		116352		1663
129		2033		117043		1665
130		2033		117732		1663
131		2032		118423		1665
132		2032		119111		1665
133		2031		119800		1663
134		2030		120487		1663
135		2029		121175		1663
136		2029		121861		1663
137		2029		122547		1663
138		2029		123233		1663
139		2028		123918		1662
140		2028		124602		1662
141		2027		125285		1660
142		2027		125969		1660
143		2027		126653		1660
144		2027		127337		1660
145		2027		128021		1660
146		2026		128704		1661
147		2026		129386		1661
148		2026		130068		1661
149		2026		130750		1661
150		2026		131432		1661
151		2025		132116		1661
152		2025		132798		1661
153		2025		133480		1661
154		2025		134162		1661
155		2025		134844		1661
156		2025		135526		1661
157		2025		136208		1661
158		2024		136890		1660
159		2024		137572		1660
160		2024		138254		1660
161		2024		138936		1660
162		2024		139618		1660
163		2023		140301		1660
164		2022		140983		1660
165		2022		141663		1660
166		2022		142343		1660
167		2022		143023		1660
168		2022		143703		1660
169		2022		144383		1660
170		2022		145063		1660
171		2022		145743		1660
172		2022		146425		1660
173		2022		147105		1660
174		2022		147785		1660
175		2022		148465		1660
176		2022		149145		1660
177		2022		149825		1660
178		2022		150505		1660
179		2021		151184		1661
180		2021		151862		1661
181		2020		152539		1662
182		2020		153217		1662
183		2019		153896		1662
184		2019		154574		1662
185		2019		155252		1662
186		2019		155930		1662
187		2019		156608		1662
188		2019		157286		1662
189		2019		157964		1662
190		2019		158642		1662
191		2019		159320		1662
192		2019		159998		1662
193		2019		160676		1662
194		2019		161354		1662
195		2019		162032		1662
196		2019		162710		1662
197		2019		163388		1662
198		2019		164066		1662
199		2019		164744		1662
200		2019		165422		1662
201		2019		166100		1662
202		2019		166778		1662
203		2019		167456		1662
204		2019		168134		1662
205		2019		168812		1662
206		2019		169490		1662
207		2019		170168		1662
208		2019		170846		1662
209		2019		171524		1662
210		2019		172202		1662
211		2019		172880		1662
212		2019		173558		1662
213		2019		174236		1662
214		2019		174914		1662
215		2018		175591		1662
216		2018		176267		1662
217		2018		176943		1662
218		2018		177619		1662
219		2017		178294		1663
220		2017		178968		1663
221		2017		179642		1663
222		2017		180316		1663
223		2016		180989		1662
224		2016		181661		1662
225		2016		182333		1662
226		2016		183005		1662
227		2016		183677		1662
228		2016		184349		1662
229		2016		185021		1662
230		2016		185693		1662
231		2016		186365		1662
232		2016		187037		1662
233		2016		187709		1662
234		2016		188381		1662
235		2016		189053		1662
236		2015		189724		1663
237		2015		190394		1663
238		2015		191064		1663
239		2015		191734		1663
240		2014		192403		1663
241		2014		193071		1663
242		2014		193739		1663
243		2014		194407		1663
244		2014		195075		1663
245		2014		195743		1663
246		2013		196410		1665
247		2013		197076		1665
248		2013		197742		1665
249		2013		198408		1665
